row_number,rule_name,severity,issue_type,event_id,session_id
894,Missing content_id,HIGH,Missing value,e611ec80-0b72-4a3f-b60e-b19a146754df,fc9b2c70-5e36-4fbb-90b6-5b1fbb754e79
918,Missing content_id,HIGH,Missing value,ce563ac2-dc75-4a53-abdc-48bd9e37268d,c330c03a-8b01-4db2-8082-427ce5e68857
422,Missing device_id,HIGH,Missing value,00b45cde-e17c-4a49-ba6b-e4295e72ca5a,d89c64b1-5bd4-4867-9450-455f259459e9
620,Missing device_id,HIGH,Missing value,90184e6b-3086-4b9e-a710-2f4207109d77,3e7868d6-dd48-4607-a531-896d61b76817
633,Missing device_id,HIGH,Missing value,f62040e6-138b-4e72-9b03-d6ce06547657,bb0d383f-218f-445b-b320-8ddf0ad7ea62
868,Missing device_id,HIGH,Missing value,54156e66-73d6-4e18-80b7-4c9c090d7e8b,3170f793-b0cd-460e-90b4-b802a35c0046
903,Missing device_id,HIGH,Missing value,e1bcb4a6-cf34-4f2b-961e-d0bc02d4d9ee,89e4b926-e4bc-4ac8-87c4-2dafb504ba6e
105,Invalid firmware_version format,MEDIUM,Format issue,9784c6fd-7b1a-4948-a350-10e2276bacc8,1c0fe729-e7d9-4ae7-9f0b-5518129a914e
329,Invalid firmware_version format,MEDIUM,Format issue,db3dc9f1-d0a1-4518-8d7e-efc3c3e03200,246e5067-c41b-46da-b8f1-7c98dbfb3164
434,Invalid firmware_version format,MEDIUM,Format issue,15e0953b-1934-4fe7-ae0d-b33a7803390e,003e798a-2486-483c-9640-2eb64c80de19
489,Invalid firmware_version format,MEDIUM,Format issue,b3a3bb5a-5d75-45b8-b52a-b541cee893ef,aaf0335b-b865-4272-b80f-707e63520001
503,Invalid firmware_version format,MEDIUM,Format issue,a5ad0983-8206-4e5e-a8af-ba23f34330fd,bed99863-128c-4e84-a5a8-7c5b52b72c2c
659,Invalid firmware_version format,MEDIUM,Format issue,8529ac52-996a-47ff-b570-d5ecd723b6e4,1c0fe729-e7d9-4ae7-9f0b-5518129a914e
0,Timestamp outside last 30 days,MEDIUM,Timestamp issue,a3a65b03-93ce-414f-a817-ac9e9f4cebe2,2f0b1436-8697-41f1-a288-c0d8fcb512e6
1,Timestamp outside last 30 days,MEDIUM,Timestamp issue,eb102904-b330-4e52-9ef4-b579c9fd732b,3ae631c7-9378-4467-8d8b-418f043e2e1f
2,Timestamp outside last 30 days,MEDIUM,Timestamp issue,9f3342e6-e410-4df5-8b32-d6d589a3c3b2,7d75f6da-c30a-47cc-8cf6-abf4ff329b57
3,Timestamp outside last 30 days,MEDIUM,Timestamp issue,b97aa32c-f4d7-4e13-adaf-4fe2919d9f6a,7d75f6da-c30a-47cc-8cf6-abf4ff329b57
4,Timestamp outside last 30 days,MEDIUM,Timestamp issue,174342a8-187f-4e44-bd91-786397d3335e,91ca5769-55df-4f3f-bf66-5ed1ebf0f5fe
5,Timestamp outside last 30 days,MEDIUM,Timestamp issue,a8075482-3ffd-4d3e-8ed8-b37afd9f3676,3170f793-b0cd-460e-90b4-b802a35c0046
6,Timestamp outside last 30 days,MEDIUM,Timestamp issue,a10e2b8f-12db-4a03-b982-8fb477f081f6,eef168f7-52cf-4699-b2e5-8ffd974658eb
7,Timestamp outside last 30 days,MEDIUM,Timestamp issue,c1fdc98d-cf63-4d91-b5e8-769c9128373f,10546214-6854-47d9-87b4-ef68f196ff5e
8,Timestamp outside last 30 days,MEDIUM,Timestamp issue,5e43011e-a8c7-4eaa-acc2-d093b3fe10cf,318acf26-04b1-461c-86b7-87317f167cfd
9,Timestamp outside last 30 days,MEDIUM,Timestamp issue,541785d7-43c9-4028-bc8f-7b515411d14b,5351ac01-c8fb-40e5-9579-8591e454d4ae
10,Timestamp outside last 30 days,MEDIUM,Timestamp issue,8dbce9fd-4b06-4576-b0b0-c7b2f4a6f9f8,7821def3-ebf4-4a2d-acbe-5c1d9ab89193
11,Timestamp outside last 30 days,MEDIUM,Timestamp issue,b60fd687-868e-41b2-8612-44acdc364e9d,7acb7b04-f20d-4585-90e5-de8ef3a72b0b
12,Timestamp outside last 30 days,MEDIUM,Timestamp issue,59401820-64e2-4f9b-902e-be41ad6c9fd4,d005ee80-3104-4ee4-99aa-006807ae39ad
13,Timestamp outside last 30 days,MEDIUM,Timestamp issue,358d57a7-a791-412f-ba2f-b1d71a293d48,10546214-6854-47d9-87b4-ef68f196ff5e
14,Timestamp outside last 30 days,MEDIUM,Timestamp issue,b6e967ed-cd17-4471-b958-308baf7f373d,d89c64b1-5bd4-4867-9450-455f259459e9
15,Timestamp outside last 30 days,MEDIUM,Timestamp issue,1a7fc18b-69bb-4fd6-bf9c-d92c0a9c1d13,bdd9c83f-ad22-4aef-9590-bf00ee9b44d2
16,Timestamp outside last 30 days,MEDIUM,Timestamp issue,df6972b5-d552-4935-8d33-92eafb0f89a5,06afc732-261f-42e9-b082-81626e6b23e3
17,Timestamp outside last 30 days,MEDIUM,Timestamp issue,0a27448a-ce10-4383-9720-79bccd517865,cf2a0446-2c50-4fa5-bf3f-b23d98285c98
18,Timestamp outside last 30 days,MEDIUM,Timestamp issue,5bd76612-8543-45e7-96cb-305c13c82060,f38a2232-1480-42b2-a7a2-1ec680e29db5
19,Timestamp outside last 30 days,MEDIUM,Timestamp issue,5ed3966f-9669-4ec9-ba82-0a5285aed851,dc72b723-076a-497e-a9c8-48e7b57e21cb
20,Timestamp outside last 30 days,MEDIUM,Timestamp issue,805573fd-d77b-4a72-b78d-5e9569c85ed4,37c2feb0-3490-4f4d-9844-e68f7b0487eb
21,Timestamp outside last 30 days,MEDIUM,Timestamp issue,d1951d41-7de9-4929-a7f7-2cf717faa398,1dad937b-39cd-4aca-8661-fe7b5d475433
22,Timestamp outside last 30 days,MEDIUM,Timestamp issue,c9c75f23-82d4-4fd2-aa70-d23e55db6bb8,3dc14172-738e-4013-8c33-3d8c0977567d
23,Timestamp outside last 30 days,MEDIUM,Timestamp issue,8bf163ad-4582-449a-bf47-bf0ce99d6b88,89e4b926-e4bc-4ac8-87c4-2dafb504ba6e
24,Timestamp outside last 30 days,MEDIUM,Timestamp issue,b97aa32c-f4d7-4e13-adaf-4fe2919d9f6a,7d75f6da-c30a-47cc-8cf6-abf4ff329b57
25,Timestamp outside last 30 days,MEDIUM,Timestamp issue,254d17e6-9b32-4a4e-a5fc-83dd3e66f0ed,82ef415a-b913-47eb-96ec-1af2f8cecd34
26,Timestamp outside last 30 days,MEDIUM,Timestamp issue,f3d517e5-d061-4842-b1a3-24aad449b20e,2c0b9fce-9dfc-4271-9be6-f4f7e5ad8a92
27,Timestamp outside last 30 days,MEDIUM,Timestamp issue,fe8f4d7b-fef6-4d57-b71c-7f4e9e22e73e,f3e2111e-ba82-4af6-a4ab-0ea2782a1b11
28,Timestamp outside last 30 days,MEDIUM,Timestamp issue,5e0878d2-5bf3-44d9-bf9a-dda5fd434d24,aaf0335b-b865-4272-b80f-707e63520001
29,Timestamp outside last 30 days,MEDIUM,Timestamp issue,856e356e-84d1-4c2e-a7f9-af6ce2264338,1f2eae4b-d609-4d6d-aca7-1ac11f814278
30,Timestamp outside last 30 days,MEDIUM,Timestamp issue,01f18fcc-2bf8-4ef7-9997-95feba6e8d73,771b2b82-37c5-4bf9-ab4e-cec62570edd6
31,Timestamp outside last 30 days,MEDIUM,Timestamp issue,4f8b4f69-e08d-4561-bbb9-0ebfb70803f0,5cf15453-ab89-4b63-9865-7e340c15747d
32,Timestamp outside last 30 days,MEDIUM,Timestamp issue,52534e5d-6ebd-4dde-b1d1-a1ce65d30ad6,6ef3e858-f966-4c8b-9963-4774521556e8
33,Timestamp outside last 30 days,MEDIUM,Timestamp issue,4995e043-1703-43fa-a2bf-1d6f1ede1ab4,6f6bcf1a-807c-4326-9920-2a286288152b
34,Timestamp outside last 30 days,MEDIUM,Timestamp issue,2440df2f-bfd2-443d-97f7-28fe5cac54b6,dafa04d5-6dbe-4512-87ae-708606c34a54
35,Timestamp outside last 30 days,MEDIUM,Timestamp issue,9159906b-2a1c-4ea4-aab7-5683c171da0c,75d0ab67-11c0-4b00-be70-978f4e86b387
36,Timestamp outside last 30 days,MEDIUM,Timestamp issue,2b1af66e-dcdd-4f3e-8e0b-69771636182f,6f53c64a-91f6-41fe-bb63-40f6ba5597b6
37,Timestamp outside last 30 days,MEDIUM,Timestamp issue,1a4048d4-4363-4125-87df-6c226fbb5e48,02aa29e0-973d-451b-9a72-69906cd9fdc8
38,Timestamp outside last 30 days,MEDIUM,Timestamp issue,c78da075-ec10-4c59-ad03-cb059809ac03,318acf26-04b1-461c-86b7-87317f167cfd
39,Timestamp outside last 30 days,MEDIUM,Timestamp issue,58484561-5c59-45b0-9651-8df7ec89f119,7c068c56-ad95-4059-b4d9-eb58b654683b
40,Timestamp outside last 30 days,MEDIUM,Timestamp issue,aab75600-c99c-4598-906f-4884ac7648c9,2095ca0a-3bd6-4fd1-826c-e574aa9bd37e
41,Timestamp outside last 30 days,MEDIUM,Timestamp issue,dc870619-e8e7-468b-b942-b5d6ce5f58dd,4dc32b0b-b2eb-4f66-b5a2-eea077563e48
42,Timestamp outside last 30 days,MEDIUM,Timestamp issue,6752ce10-3681-4d16-ab2e-04021e042d06,4b6b32a6-0dc4-4cbf-9f49-6ce712a1b8f5
43,Timestamp outside last 30 days,MEDIUM,Timestamp issue,ab71e0b2-e3e4-4ae0-ae3d-5a36ee824d86,ad1424b8-96c9-4db0-b715-11f07657971d
44,Timestamp outside last 30 days,MEDIUM,Timestamp issue,c9e73df7-1d5a-4ce3-b5ee-d72757bad5d7,741c3404-9813-4d95-83bb-ad66a56bf881
45,Timestamp outside last 30 days,MEDIUM,Timestamp issue,f3a41508-d10f-4321-b1f5-e7a943db8275,34e72600-df72-46c4-91b4-9a4a6bef0e35
46,Timestamp outside last 30 days,MEDIUM,Timestamp issue,dd038879-69dc-435c-885b-7cd96fd75517,76e1f60c-fb9a-45b6-878d-aa2e91c50b02
47,Timestamp outside last 30 days,MEDIUM,Timestamp issue,b6ec6f77-e084-42a3-a6f9-c54e0b0c2dec,11deaa9c-7892-4cc5-9483-7f2f02ccc096
48,Timestamp outside last 30 days,MEDIUM,Timestamp issue,0dc7a9ac-60e0-4736-a61f-13b650f8c905,15e394fd-5fde-4286-91eb-0a67ca5d2ed5
